Name,RA,Dec,Con,OT,Mag,Other
VdB 150,332.417200,73.390900,CEP,RN,8.40,SB=M; Spect=AO; Color=VB; Type=I
VdB 151,333.469700,39.714900,LAC,RN,4.49,SB=F; Spect=K3III; Color=I; Type=II  :
VdB 152,333.352200,70.251400,CEP,RN,8.80,SB=VB; Spect=A; Color=B; Type=I
VdB 153,335.801100,62.700000,CEP,RN,9.40,SB=M; Color=B; Type=I
VdB 154,337.806600,65.466200,CEP,RN,8.90,SB=F; Color=B; Type=II
VdB 155,343.315000,62.145800,CEP,RN,9.29,SB=M; Spect=B2PE; Color=B; Type=I
VdB 156,345.480300,42.326000,AND,RN,3.62,SB=F; Spect=B6P; Color=I; Type=II
VdB 157,345.565600,72.730400,CEP,RN,7.80,SB=F; Spect=AO; Color=VB; Type=P
VdB 158,354.465000,48.496600,AND,RN,9.00,SB=M; Spect=B9; Color=VB; Type=I
Messier 78,86.675000,0.050000,ORI,RN,8.30,
