Name,RA,Dec,Con,OT,Other
WBL 172,121.027300,8.641300,CNC,G+,Rich=4; z=0.01645
WBL 173,122.342500,57.819900,LYN,G+,Rich=5; z=0.02181
WBL 174,122.525300,24.885200,CNC,G+,Rich=3; z=0.01396
WBL 175,123.315600,57.965900,LYN,G+,Rich=4; z=0.01753
WBL 176,123.867600,58.263600,LYN,G+,Rich=4; z=0.02664
WBL 177,124.405200,21.144200,CNC,G+,Rich=3; z=0.00714
WBL 178,125.004200,21.075100,CNC,G+,Rich=11; z=0.01596
WBL 179,125.732900,4.288700,HYA,G+,Rich=7
WBL 180,126.027900,21.021000,CNC,G+,Rich=3; z=0.01766
WBL 181,126.014600,-0.329100,HYA,G+,Rich=3
WBL 182,126.610800,22.902100,CNC,G+,Rich=3; z=0.01843
WBL 183,127.147000,30.433400,CNC,G+,Rich=7; z=0.05117
WBL 184,128.486500,55.561900,LYN,G+,Rich=3
WBL 185,128.435000,41.478600,LYN,G+,Rich=3
WBL 186,128.803900,52.777300,UMA,G+,Rich=3
WBL 187,128.854500,-2.990100,HYA,G+,Rich=5; z=0.02221
WBL 188,128.908500,-1.940300,HYA,G+,Rich=8; z=0.03002
WBL 189,129.257900,41.492100,LYN,G+,Rich=3
WBL 190,129.542700,25.224200,CNC,G+,Rich=4
WBL 191,129.568200,19.690700,CNC,G+,Rich=3; z=0.01507
WBL 192,131.218000,55.018300,UMA,G+,Rich=4; z=0.02581
WBL 193,131.728100,28.216100,CNC,G+,Rich=3; z=0.02128
WBL 194,131.650000,2.482800,HYA,G+,Rich=3
WBL 195,131.951900,37.665400,LYN,G+,Rich=4; z=0.04460
WBL 196,132.087400,18.981400,CNC,G+,Rich=4
WBL 197,132.566000,40.279800,LYN,G+,Rich=4
WBL 198,133.037800,52.928300,UMA,G+,Rich=3; z=0.01927
WBL 199,135.566700,14.502400,CNC,G+,Rich=3
WBL 200,135.838300,13.634800,CNC,G+,Rich=4
WBL 201,135.994500,21.967700,CNC,G+,Rich=3; z=0.01037
WBL 202,136.329900,18.299800,CNC,G+,Rich=5; z=0.02180
WBL 203,136.710500,41.365400,LYN,G+,Rich=3; z=0.02741
WBL 204,137.412400,37.629700,LYN,G+,Rich=3; z=0.02298
WBL 205,137.386700,20.446300,CNC,G+,Rich=3; z=0.02939
WBL 206,137.595400,50.429200,UMA,G+,Rich=4; z=0.01647
WBL 207,138.097200,34.994100,LYN,G+,Rich=3; z=0.00678
WBL 208,138.648500,30.108900,CNC,G+,Rich=3; z=0.02298
WBL 209,138.743000,22.608600,CNC,G+,Rich=3
WBL 210,139.024700,17.724300,CNC,G+,Rich=6; z=0.02880
WBL 211,139.219100,29.357100,CNC,G+,Rich=3; z=0.03590
WBL 212,139.330700,41.973500,LYN,G+,Rich=3; z=0.00576
WBL 213,139.282700,20.040100,CNC,G+,Rich=10; z=0.02882
WBL 214,139.558500,20.372600,CNC,G+,Rich=4; z=0.03049
WBL 215,139.784600,5.888500,HYA,G+,Rich=3
WBL 216,139.886900,33.755000,LYN,G+,Rich=13; z=0.02365
WBL 217,139.994100,1.004400,HYA,G+,Rich=3; z=0.01740
WBL 218,140.414300,64.270400,UMA,G+,Rich=3; z=0.00527
WBL 219,140.888700,22.351800,LEO,G+,Rich=5; z=0.03289
