Name,RA,Dec,Con,OT,Mag,Diam,Other
VV 559,198.173700,22.829200,COM,PG,14.20,0.040,8Zw262
VV 56,190.927100,16.393300,COM,PG,11.39,0.100,Arp 189
VV 560,247.170400,12.765800,HER,PG,15.20,0.030,
VV 561,211.388300,54.460800,UMA,PG,14.36,0.043,
VV 562,246.554200,13.171700,HER,PG,15.30,0.020,
VV 563,188.174600,14.049200,COM,PG,13.19,0.052,
VV 564,189.904200,16.588100,COM,PG,15.30,nan,Arp 149
VV 565,75.409600,-4.258600,ERI,PG,13.30,0.004,VV 524
VV 566,13.649200,42.275300,AND,PG,15.39,0.018,5Zw040
VV 567,213.802500,4.824200,VIR,PG,14.29,0.028,
VV 568,31.004200,24.206700,ARI,PG,14.51,0.020,5Zw173
VV 569,274.475000,30.636700,LYR,PG,14.40,0.028,
VV 57,179.050000,58.205000,UMA,PG,14.60,0.052,7Zw430
VV 570,7.990000,-8.344700,CET,PG,15.00,0.030,
VV 571,189.034200,19.322800,COM,PG,12.90,0.037,IC 3569
VV 572,330.595400,18.318300,PEG,PG,14.80,nan,2Zw160
VV 573,153.509150,-35.136100,ANT,PG,13.52,0.009,
VV 574,172.002100,78.992200,DRA,PG,14.50,0.035,7Zw403
VV 575,174.861700,31.853900,UMA,PG,15.70,0.018,
VV 576,96.656200,-29.932800,CMA,PG,14.56,0.030,
VV 577,21.462500,-37.334200,SCL,PG,14.55,0.022,
VV 578,19.987100,-41.236400,PHE,PG,14.50,0.018,
VV 579,353.069200,23.477500,PEG,PG,15.39,0.015,
VV 58,142.755000,76.457500,DRA,PG,15.44,0.028,Arp 207
VV 580,190.958350,-40.714850,CEN,PG,14.46,0.007,
VV 581,329.256200,-36.995600,GRU,PG,14.50,nan,
VV 582,6.661200,-30.550000,SCL,PG,15.00,0.013,
VV 583,30.569600,-21.763100,CET,PG,14.82,0.028,
VV 584,169.854150,-3.091950,LEO,PG,15.00,0.011,Arp 132
VV 585,224.140400,-24.502800,LIB,PG,15.03,0.025,
VV 586,142.109150,-36.131400,ANT,PG,16.00,0.005,
VV 587,48.597100,-2.800800,ERI,PG,14.36,0.043,Arp 279
VV 588,40.717100,7.597800,CET,PG,14.80,0.020,
VV 589,329.642900,14.122200,PEG,PG,15.02,0.030,
VV 59,227.024200,34.390000,BOO,PG,13.80,0.018,
